"KAD_GEM_CODE","KAD_NAAM","BURG_NR","BURG_GEM_KODE","BURG_NAAM","BEW_CODE","BEW_NAAM","MAPINFO_ID"
"CVD00","COEVORDEN","0109","CVD00","COEVORDEN","21","ASSEN",20165
"DBD00","DUBBELDAM","0505","DDT00","DORDRECHT","15","ROTTERDAM",20166
"DBG01","DRIEBERGEN-RIJSENBURG","1581","UTS00","UTRECHTSE HEUVELRUG","17","UTRECHT",20167
"DBG02","DOESBURG","0221","DBG02","DOESBURG","25","ARNHEM",20168
"DBG03","DOMBURG","0717","VRE00","VEERE","12","MIDDELBURG",20169
"DDM00","DIDAM","1955","MFL00","MONTFERLAND","25","ARNHEM",20170
"DDN01","AMBT-DELDEN","1735","HOF00","HOF VAN TWENTE","23","ZWOLLE",20171
"DDN02","STAD-DELDEN","1735","HOF00","HOF VAN TWENTE","23","ZWOLLE",20172
"DDT00","DORDRECHT","0505","DDT00","DORDRECHT","15","ROTTERDAM",20173
"DDW00","DODEWAARD","1740","NDR00","NEDER-BETUWE","25","ARNHEM",20174
"DEI00","DEIL","0236","GDM00","GELDERMALSEN","25","ARNHEM",20175
"DEL00","DELFT","0503","DEL00","DELFT","16","ZOETERMEER",20176
"DGH00","DROGEHAM","0059","AKS02","ACHTKARSPELEN","20","LEEUWARDEN",20177
"DGL00","DWINGELOO","1701","WTV01","WESTERVELD","21","ASSEN",20178
"DGN01","DONGEN","0766","DGN01","DONGEN","13","BREDA",20179
"DGN02","DEN DUNGEN","0845","MCG00","SINT-MICHIELSGESTEL","19","EINDHOVEN",20180
"DHV00","DELFSHAVEN","0599","RTD01","ROTTERDAM","15","ROTTERDAM",20181
"DKB00","DONKERBROEK","0085","OTL02","OOSTSTELLINGWERF","20","LEEUWARDEN",20182
"DKM00","DOKKUM","0058","DGR00","DONGERADEEL","20","LEEUWARDEN",20183
"DLD00","DIRKSLAND","1924","GRE01","GOEREE-OVERFLAKKEE","15","ROTTERDAM",20184
"DLN00","DALEN","0109","CVD00","COEVORDEN","21","ASSEN",20185
"DML02","DREUMEL","0668","MAA01","WEST MAAS EN WAAL","25","ARNHEM",20186
"DMN00","DIEMEN","0384","DMN00","DIEMEN","14","AMSTERDAM",20187
"DNB00","DOORNENBURG","1705","LGW01","LINGEWAARD","25","ARNHEM",20188
"DNE00","DEURNE","0762","DNE00","DEURNE","19","EINDHOVEN",20189
"DNK00","DENEKAMP","1774","DKL00","DINKELLAND","23","ZWOLLE",20190
"DNM00","DEINUM","1908","MNM00","MENAMERADIEL","20","LEEUWARDEN",20191
"DNN00","DRUNEN","0797","HDN02","HEUSDEN","13","BREDA",20192
"DOO00","DOORN","1581","UTS00","UTRECHTSE HEUVELRUG","17","UTRECHT",20193
"DPH00","DIEPENHEIM","1735","HOF00","HOF VAN TWENTE","23","ZWOLLE",20194
"DPL00","DINXPERLO","0197","ATN02","AALTEN","25","ARNHEM",20195
"DPV00","DIEPENVEEN","0150","DVT00","DEVENTER","23","ZWOLLE",20196
"DRI00","DRIEL","1734","OVB00","OVERBETUWE","25","ARNHEM",20197
"DRN00","DIEREN","0275","RDN02","RHEDEN","25","ARNHEM",20198
